Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
11,20,3,70.0,0.12553915683653313,1,3,3,0,4,0,19,2,2,0,2,5,5,1965,1965,3,1,6,6,3,0.0,3,4,1,3,3,3,4,906,5,0,134,1040,1,0,1,4,1040,0,0,-0.904311767747849,1,0,1,0,3,1,3,5,6,0,5,5,1965.0,2,1,384,4,4,2,0,0,0,0,0,0,0,2,2008,8,4,-0.6880230358243691
13,20,3,69.0,0.3379917026556635,1,1,3,0,4,0,19,2,2,0,2,5,6,1962,1962,3,1,6,10,3,0.0,3,4,1,3,3,3,0,737,5,0,175,912,1,4,1,4,912,0,0,-1.1707671345121051,1,0,1,0,2,1,3,4,6,0,5,5,1962.0,2,1,352,4,4,2,140,0,0,0,176,0,0,9,2008,8,4,-0.44312766158229494
14,20,3,91.0,0.0596884808699701,1,0,3,0,4,0,5,2,2,0,2,7,5,2006,2007,1,1,12,13,2,306.0,2,4,2,2,3,0,5,0,5,0,1494,1494,1,0,1,4,1494,0,0,0.04077211124412181,0,0,2,0,3,1,2,7,6,1,2,1,2006.0,1,3,840,4,4,2,160,33,0,0,0,0,0,8,2007,6,5,1.8453773873695012
15,20,3,69.0,0.091892826050698,1,0,3,0,0,0,12,2,2,0,2,6,5,1960,1960,3,1,8,8,1,212.0,3,4,1,3,3,3,1,733,5,0,520,1253,1,4,1,4,1253,0,0,-0.4609133839917041,1,0,1,1,2,1,3,5,6,1,1,1,1960.0,1,1,352,4,4,2,0,213,176,0,0,0,0,5,2008,8,4,-0.22356629157215954
16,45,4,51.0,-0.4849014159921899,1,3,3,0,0,0,3,2,2,0,1,7,8,1929,2001,1,1,13,14,3,0.0,3,4,0,3,3,3,5,0,5,0,832,832,1,0,1,0,854,0,0,-1.2915047225771588,0,0,1,0,2,1,3,5,6,0,5,5,1991.0,2,2,576,4,4,2,48,112,0,0,0,0,0,7,2007,8,4,-0.6457996954378046
17,20,3,69.0,0.13046594098731612,1,0,3,0,1,0,12,2,2,0,2,6,7,1970,1970,1,1,13,14,1,180.0,3,4,1,3,3,3,0,578,5,0,426,1004,1,0,1,4,1004,0,0,-0.979252339650296,1,0,1,0,2,1,3,5,6,1,4,1,1970.0,0,2,480,4,4,2,0,0,0,0,0,0,700,3,2010,8,4,-0.35868098080916594
18,90,3,72.0,0.07639148079579539,1,3,3,0,4,0,19,2,2,2,2,4,5,1967,1967,1,1,8,8,3,0.0,3,4,3,4,4,4,6,0,6,0,0,0,1,4,1,4,1296,0,0,-0.37140103421933685,0,0,2,0,2,2,3,6,6,0,5,4,1967.0,2,2,516,4,4,2,0,0,0,0,0,0,500,10,2006,8,4,-1.3551518139320884
19,20,3,66.0,0.42535199723174255,1,3,3,0,4,0,20,5,2,0,2,5,5,2004,2004,1,1,12,13,3,0.0,3,4,2,3,3,3,2,646,5,0,468,1114,1,0,1,4,1114,0,0,-0.7502672588372634,1,0,1,1,3,1,2,6,6,0,5,5,2004.0,2,2,576,4,4,2,0,102,0,0,0,0,0,6,2008,8,4,-0.18978761926290794
20,20,3,70.0,-0.3118631433793235,1,3,3,0,4,0,12,2,2,0,2,5,6,1958,1965,3,1,3,10,3,0.0,3,4,1,3,3,3,3,504,5,0,525,1029,1,4,1,4,1339,0,0,-0.2818886844469696,0,0,1,0,3,1,3,6,2,0,5,1,1958.0,2,1,294,4,4,2,0,0,0,0,0,0,0,5,2009,0,0,-0.527574342355424
21,60,3,101.0,0.4878380401197221,1,0,3,0,0,0,16,2,2,0,5,8,5,2005,2006,1,1,12,13,1,380.0,2,4,2,0,3,0,5,0,5,0,1158,1158,1,0,1,4,1158,1218,0,1.8768161228540738,0,0,3,1,4,1,2,9,6,1,2,3,2005.0,1,3,853,4,4,2,240,154,0,0,0,0,0,11,2006,6,5,2.618908983251363
22,45,4,57.0,-0.3252015102265653,1,3,0,0,4,0,9,2,2,0,1,7,7,1930,1950,1,1,13,14,3,0.0,3,4,2,3,3,3,5,0,5,0,637,637,1,0,1,1,1108,0,0,-0.762757354154338,0,0,1,0,3,1,2,6,6,1,2,1,1930.0,2,1,280,4,4,0,0,0,205,0,0,0,0,6,2007,8,4,-0.5208186078935737
23,20,3,75.0,-0.04966209418399407,1,3,3,0,4,0,5,2,2,0,2,8,5,2002,2002,3,1,12,13,1,281.0,2,4,2,2,3,3,5,0,5,0,1777,1777,1,0,1,4,1795,0,0,0.6673585596506928,0,0,2,0,3,1,2,7,6,1,2,1,2002.0,1,2,534,4,4,2,171,159,0,0,0,0,0,9,2008,8,4,1.009355247715524
24,120,4,44.0,-0.7127351415991307,1,3,3,0,4,0,10,2,2,4,2,5,7,1976,1976,1,1,5,5,3,0.0,3,4,2,2,3,3,2,840,5,0,200,1040,1,4,1,4,1060,0,0,-0.862678116690934,1,0,1,0,3,1,3,6,6,1,4,1,1976.0,2,2,572,4,4,2,100,110,0,0,0,0,0,6,2007,8,4,-0.6812673013625188
25,20,3,69.0,-0.22942963295402746,1,0,3,0,4,0,19,2,2,0,2,5,8,1968,2001,1,1,9,10,3,0.0,3,2,1,3,3,2,4,188,0,668,204,1060,1,0,1,4,1060,0,0,-0.862678116690934,1,0,1,0,3,1,2,6,6,1,4,1,1968.0,2,1,270,4,4,2,406,90,0,0,0,0,0,5,2010,8,4,-0.27423430003603694
26,20,3,110.0,0.4896405221261061,1,3,3,0,0,0,16,2,2,0,2,8,5,2007,2007,1,1,12,13,2,640.0,2,4,2,2,3,3,5,0,5,0,1566,1566,1,0,1,4,1600,0,0,0.2614304618457714,0,0,2,0,3,1,2,7,6,1,2,1,2007.0,1,3,890,4,4,2,0,56,0,0,0,0,0,7,2009,8,4,1.4535447885821826
27,20,3,60.0,-0.3551227115325401,1,3,3,0,0,0,12,2,2,0,2,5,7,1951,2000,1,1,13,14,3,0.0,3,4,1,3,3,2,1,234,4,486,180,900,1,4,1,4,900,0,0,-1.1957473251462543,0,1,1,0,3,1,2,5,6,0,5,5,2005.0,2,2,576,4,4,2,222,32,0,0,0,0,0,5,2010,8,4,-0.5985095542048523
28,20,3,98.0,0.1589451566881837,1,3,3,0,4,0,16,2,2,0,2,8,5,2007,2008,1,1,12,13,2,200.0,2,4,2,0,3,3,2,1218,5,0,486,1704,1,0,1,4,1704,0,0,0.4779254473417294,1,0,2,0,3,1,2,7,6,1,2,1,2008.0,1,3,772,4,4,2,0,50,0,0,0,0,0,5,2010,8,4,2.292944795467085
29,20,3,47.0,0.7409065138160391,1,0,3,0,1,0,12,2,2,0,2,5,6,1957,1997,1,1,8,8,3,0.0,3,4,1,3,3,1,1,1277,5,0,207,1484,1,4,1,4,1600,0,0,0.2614304618457714,1,0,1,0,2,1,3,6,6,2,2,1,1957.0,1,1,319,4,4,2,288,258,0,0,0,0,0,12,2006,8,4,0.6293451842364435
30,30,4,60.0,-0.4603876607053672,1,0,3,0,4,0,3,1,7,0,2,4,6,1927,1950,1,1,8,8,3,0.0,3,4,0,3,3,3,5,0,5,0,520,520,1,1,0,4,520,0,0,-1.9867866952276394,0,0,1,0,1,1,1,4,6,0,5,5,1920.0,2,1,240,1,4,2,49,0,87,0,0,0,0,5,2008,8,4,-1.7182725412565432
31,70,0,50.0,-0.1989076043125913,1,3,3,0,4,0,9,1,2,0,5,4,4,1920,1950,2,1,3,3,3,0.0,3,1,0,3,3,3,5,0,5,0,649,649,1,4,0,4,649,668,0,-0.3276857006095761,0,0,1,0,3,1,3,6,6,0,5,5,1920.0,2,1,250,4,1,0,0,54,172,0,0,0,0,7,2008,8,4,-2.1996186216633786
32,20,3,69.0,-0.1936203237605315,1,0,3,0,1,0,19,2,2,0,2,5,6,1966,2006,1,1,6,6,3,0.0,3,4,1,3,3,3,5,0,5,0,1228,1228,1,2,1,4,1228,0,0,-0.512955447812848,0,0,1,1,3,1,2,6,6,0,5,1,1966.0,2,1,271,4,4,2,0,65,0,0,0,0,0,6,2008,8,4,-0.3527697131550469
33,20,3,85.0,0.10739417130560061,1,3,3,0,0,0,5,2,2,0,2,8,5,2007,2007,1,1,12,13,3,0.0,2,4,2,0,3,0,5,0,5,0,1234,1234,1,0,1,4,1234,0,0,-0.5004653524957734,0,0,2,0,3,1,2,7,6,0,5,1,2007.0,1,2,484,4,4,2,0,30,0,0,0,0,0,1,2008,8,4,0.16319950636877134
34,20,3,70.0,0.047671934160743265,1,0,3,0,4,0,12,2,2,0,2,5,5,1959,1959,3,1,3,3,3,0.0,3,4,1,3,3,3,4,1018,5,0,380,1398,1,2,1,4,1700,0,0,0.46959871713034645,0,1,1,1,4,1,2,6,6,1,2,1,1959.0,1,2,447,4,4,2,0,38,0,0,0,0,0,4,2010,8,4,-0.08000693425784021
35,120,3,60.0,-0.3415440137511138,1,3,3,0,4,0,16,2,2,4,2,9,5,2005,2005,3,1,8,8,1,246.0,0,4,2,0,3,3,2,1153,5,0,408,1561,1,0,1,4,1561,0,0,0.1802448422847871,1,0,2,0,2,1,0,6,6,1,2,1,2005.0,0,2,556,4,4,2,203,47,0,0,0,0,0,8,2007,8,4,1.8115987150602497
36,60,3,108.0,0.39206616284718426,1,3,3,0,4,0,16,2,2,0,5,8,5,2004,2005,1,1,12,13,2,132.0,2,4,2,0,3,0,5,0,5,0,1117,1117,1,0,1,4,1132,1320,0,2.035023996870351,0,0,3,1,4,1,2,9,6,1,2,3,2004.0,0,3,691,4,4,2,113,32,0,0,0,0,0,9,2006,8,4,2.343612803930962
37,20,3,112.0,0.08456273255806963,1,3,3,0,0,0,5,2,2,0,2,5,5,1994,1995,1,1,12,13,3,0.0,3,4,2,2,3,3,5,0,5,0,1097,1097,1,0,1,4,1097,0,0,-0.7856558622356412,0,0,1,1,3,1,3,6,6,0,5,1,1995.0,2,2,672,4,4,2,392,64,0,0,0,0,0,6,2009,8,4,-0.42623832542766915
38,20,3,74.0,-0.19506230936563873,1,3,3,0,4,0,12,2,2,0,2,5,6,1954,1990,3,1,13,14,1,650.0,3,4,1,3,3,3,4,1213,5,0,84,1297,1,2,1,4,1297,0,0,-0.3693193516664911,0,1,1,0,3,1,3,5,6,1,4,1,1954.0,0,2,498,4,4,2,0,0,0,0,0,0,0,10,2009,8,4,-0.2911236361906627
39,20,3,68.0,-0.2683632442919224,1,3,3,0,4,0,12,2,2,0,2,5,7,1953,2007,1,1,12,13,3,0.0,3,2,1,3,3,3,2,731,5,0,326,1057,1,4,1,4,1057,0,0,-0.8689231643494713,1,0,1,0,3,1,2,5,6,0,5,5,1953.0,2,1,246,4,4,2,0,52,0,0,0,0,0,1,2010,8,0,-1.034254426994198
40,90,3,65.0,-0.49451465335957134,1,3,3,0,4,0,7,2,2,2,2,4,5,1955,1955,1,1,0,10,3,0.0,3,4,2,4,4,4,6,0,6,0,0,0,1,4,0,2,1152,0,0,-0.671163321829125,0,0,2,0,2,2,1,6,6,0,5,6,1980.0,3,0,0,5,5,0,0,0,0,0,0,0,0,6,2008,8,1,-1.4902665031690947
41,20,3,84.0,-0.1799214605120129,1,3,3,0,4,0,12,2,2,0,2,6,5,1965,1965,1,1,13,14,1,101.0,3,4,1,3,3,3,4,643,5,0,445,1088,1,0,1,4,1324,0,0,-0.3131139227396558,0,0,2,0,3,1,3,6,6,1,4,1,1965.0,1,2,440,4,4,2,0,138,0,0,0,0,0,12,2006,8,0,-0.17289828310828215
42,20,3,115.0,0.8110831465979238,1,3,3,0,4,0,23,2,2,0,2,5,6,1959,1959,1,1,12,13,3,0.0,3,2,1,3,3,1,1,967,5,0,383,1350,1,2,1,4,1328,0,0,-0.3047871925282728,0,1,1,1,2,1,3,5,6,2,2,1,1959.0,1,1,308,4,4,1,0,104,0,0,0,0,0,7,2007,8,4,-0.004004921562024107
43,85,3,69.0,-0.11719508668984886,1,0,3,0,1,0,20,2,2,0,6,5,7,1983,1983,1,1,6,6,3,0.0,3,4,1,2,3,0,0,747,3,93,0,840,1,2,1,4,884,0,0,-1.2290542459917861,1,0,1,0,2,1,2,5,6,0,5,1,1983.0,1,2,504,4,2,2,240,0,0,0,0,0,0,12,2007,8,4,-0.44312766158229494
44,20,3,69.0,-0.1147917773480035,1,0,3,0,1,0,5,2,2,0,2,5,6,1975,1980,3,1,12,13,3,0.0,3,4,1,2,3,0,3,280,1,491,167,938,1,4,1,4,938,0,0,-1.1166433881381157,1,0,1,0,3,1,3,5,6,0,5,5,1977.0,2,1,308,4,4,2,145,0,0,0,0,0,0,7,2008,8,4,-0.6753560337083997
45,20,3,70.0,-0.26559943854880025,1,3,3,0,4,0,12,2,2,0,2,5,6,1959,1959,1,1,3,14,3,0.0,3,4,1,3,3,3,0,179,1,506,465,1150,1,0,1,0,1150,0,0,-0.6753266869348165,1,0,1,0,3,1,3,6,6,0,5,1,1959.0,1,1,300,4,4,2,0,0,0,0,0,0,0,5,2006,8,4,-0.49379567004617236
46,120,3,61.0,-0.30008692760428124,1,3,3,0,4,0,16,2,2,4,2,9,5,2005,2005,3,1,8,8,1,412.0,0,4,2,0,3,3,2,456,5,0,1296,1752,1,0,1,4,1752,0,0,0.5778462098783256,1,0,2,0,2,1,0,6,6,1,2,1,2005.0,1,2,576,4,4,2,196,82,0,0,0,0,0,2,2010,8,4,2.5277065680163835
47,50,3,48.0,0.3204475444601923,1,0,3,0,1,0,11,2,2,0,0,7,5,2003,2003,1,1,12,13,3,0.0,2,4,2,0,3,3,2,1351,5,0,83,1434,1,0,1,4,1518,631,0,1.4042741833580885,1,0,1,1,1,1,2,6,6,1,0,1,2003.0,1,2,670,4,4,2,168,43,0,0,198,0,0,8,2009,8,0,1.1729453577092297
48,20,1,84.0,0.11304194825893722,1,3,3,0,4,0,21,2,2,0,2,8,5,2006,2006,1,1,12,13,3,0.0,2,4,2,2,3,0,2,24,5,0,1632,1656,1,0,1,4,1656,0,0,0.37800468480513344,0,0,2,0,3,1,2,7,6,0,5,1,2006.0,1,3,826,4,4,2,0,146,0,0,0,0,0,7,2007,8,4,1.3420751699616524
49,190,4,33.0,-0.6848567532337244,1,3,3,0,4,0,17,2,2,1,5,4,5,1920,2008,1,1,8,8,3,0.0,3,4,0,3,3,3,5,0,5,0,736,736,1,2,1,4,736,716,0,-0.04665855597539972,0,0,2,0,2,3,3,8,6,0,5,6,1980.0,3,0,0,5,5,0,0,0,102,0,0,0,0,6,2009,6,5,-0.9666970823756948
50,20,3,66.0,-0.2899930283685307,1,3,3,0,4,0,19,2,2,0,2,5,7,1966,1966,1,1,6,6,3,0.0,3,4,1,3,3,3,1,763,5,0,192,955,1,0,1,4,955,0,0,-1.0812547847397378,1,0,1,0,3,1,3,6,6,0,5,1,1966.0,2,1,386,4,4,2,0,0,0,0,0,0,0,1,2007,8,4,-0.7302463762109336
51,60,3,69.0,0.44626078850579726,1,1,3,0,0,0,8,2,2,0,5,6,6,1997,1997,1,1,12,13,3,0.0,3,4,2,2,3,0,2,182,5,0,612,794,1,2,1,4,794,676,0,-0.00918827002417621,0,1,2,0,3,1,3,6,6,0,5,1,1997.0,0,2,388,4,4,2,0,75,0,0,0,0,0,7,2007,8,4,0.11422043152035652
52,50,4,52.0,-0.4704815599411177,1,3,3,0,4,0,3,2,2,0,0,6,6,1934,1950,1,1,13,14,3,0.0,3,4,2,3,3,3,5,0,5,0,816,816,1,4,1,4,816,0,360,-0.6212029405608269,0,0,1,0,3,1,3,6,6,1,2,5,1985.0,2,2,528,4,4,2,112,0,0,0,0,0,400,9,2006,8,4,-0.9413630781437561
53,90,4,110.0,-0.20227223739117484,0,1,0,0,0,1,9,8,2,2,2,5,5,1963,1963,1,1,13,14,3,0.0,1,4,1,2,3,1,3,104,2,712,0,816,1,4,0,4,816,0,0,-1.370608659585297,1,0,1,0,2,1,3,5,6,0,5,4,1963.0,2,2,516,4,4,2,106,0,0,0,0,0,0,5,2010,8,4,-1.0173650908395722
55,80,3,60.0,-0.3630536323606298,1,3,0,0,4,1,12,2,2,0,7,5,5,1955,1955,1,1,8,8,3,0.0,3,4,1,3,3,3,0,384,5,0,0,384,1,4,1,4,1360,0,0,-0.23817335083720878,0,0,1,0,3,1,3,6,2,1,4,5,1962.0,2,2,572,4,4,2,0,50,0,0,0,0,0,2,2007,8,4,-0.6795783677470562
56,20,3,100.0,0.002369553066958113,1,0,3,0,4,0,12,2,2,0,2,6,5,1964,1964,1,1,6,10,1,272.0,3,4,1,3,3,3,1,490,5,0,935,1425,1,2,1,4,1425,0,0,-0.10286398490223499,0,0,2,0,3,1,3,7,6,1,2,1,1964.0,1,2,576,4,4,2,0,0,0,407,0,0,0,7,2008,8,4,0.1733331080615468
57,160,1,24.0,-0.9024764141378223,1,3,3,0,4,0,21,2,2,3,5,8,5,1999,2000,1,1,8,8,1,456.0,2,4,2,2,3,3,2,649,5,0,321,970,1,0,1,4,983,756,0,0.5507843366913308,1,0,2,1,3,1,2,7,6,0,5,1,1999.0,0,2,480,4,4,2,115,0,0,0,0,0,0,8,2009,8,0,0.038218418824540405
58,60,3,89.0,0.17901278969259252,1,0,3,0,0,0,5,2,2,0,5,7,5,2004,2004,1,1,12,13,3,0.0,2,4,2,2,3,3,5,0,5,0,860,860,1,0,1,4,860,860,0,0.5112323681872615,0,0,2,1,3,1,2,7,6,0,5,1,2004.0,1,2,565,4,4,2,0,70,0,0,0,0,0,8,2006,8,4,0.4435624865355597
60,20,3,60.0,-0.3551227115325401,1,3,0,0,4,0,5,2,2,0,2,5,7,1972,1972,1,1,6,6,3,0.0,3,4,1,3,3,0,0,632,5,0,148,780,1,0,1,4,780,0,0,-1.4455492314877443,0,0,1,0,2,1,3,4,6,0,5,5,1973.0,2,1,352,4,4,2,196,0,0,0,0,0,0,1,2008,8,4,-0.7657139821356478
61,20,3,63.0,0.3504889112332594,1,3,3,0,4,0,20,5,2,0,2,6,5,2004,2004,1,1,12,13,3,0.0,3,4,2,2,3,3,0,941,5,0,217,1158,1,0,1,4,1158,0,0,-0.6586732265120504,1,0,1,1,3,1,2,5,6,0,5,5,2006.0,2,2,576,4,4,2,0,50,0,0,0,0,0,5,2006,6,5,-0.20667695541753375
62,75,4,60.0,-0.3551227115325401,1,3,3,0,4,0,9,2,2,0,4,5,7,1920,1996,1,1,8,8,3,0.0,3,4,0,3,0,3,5,0,5,0,530,530,1,4,0,4,581,530,0,-0.7565123064958007,0,0,1,0,3,1,1,6,6,0,5,5,1935.0,2,1,288,4,4,0,0,0,144,0,0,0,0,3,2007,8,4,-1.1693691162312045
63,120,3,44.0,-0.4462081355884795,1,0,3,0,4,0,16,2,2,4,2,8,5,2006,2006,1,1,12,13,2,178.0,2,4,2,2,1,2,2,24,5,0,1346,1370,1,0,1,4,1370,0,0,-0.21735652530875127,0,0,2,0,2,1,2,6,6,1,2,1,2006.0,1,2,484,4,4,2,120,49,0,0,0,0,0,10,2007,8,4,0.5448985034633145
64,70,4,50.0,0.01739023645349165,1,0,0,0,4,0,17,6,1,0,5,7,6,1921,1950,1,1,11,12,3,0.0,3,4,0,3,3,3,5,0,5,0,576,576,1,2,1,4,902,808,0,0.49041554265880394,0,0,2,0,3,1,3,9,6,0,5,5,1990.0,2,2,480,4,4,2,12,11,64,0,0,0,0,4,2010,8,4,-0.5106850062007982
65,60,3,69.0,-0.09376282060685655,1,3,3,0,4,0,5,2,2,0,5,7,5,1997,1998,1,1,12,13,1,573.0,3,4,2,2,3,3,2,739,5,0,318,1057,1,0,1,4,1057,977,0,1.1648806897808273,1,0,2,1,3,1,2,8,6,0,5,1,1998.0,1,2,645,4,4,2,576,36,0,0,0,0,0,2,2009,8,4,0.8320172180919532
66,60,3,76.0,-0.06780707971492658,1,3,3,0,4,0,16,2,2,0,5,8,5,2004,2005,1,1,12,13,1,344.0,2,4,2,0,3,0,5,0,5,0,1143,1143,1,0,1,4,1143,1330,0,2.078739330480112,0,0,2,1,4,1,2,9,6,1,2,3,2004.0,1,3,852,4,4,2,192,151,0,0,0,0,0,10,2007,8,4,2.478727493167969
67,20,3,69.0,1.1709787205392674,1,3,3,0,4,0,12,3,2,0,2,7,5,1970,1989,1,1,9,10,1,287.0,3,4,1,2,3,1,2,912,5,0,1035,1947,1,4,1,4,2207,0,0,1.5250117714231421,1,0,2,0,3,1,3,7,2,1,2,1,1970.0,1,2,576,4,4,2,301,0,0,0,0,0,0,7,2010,8,4,0.16488843998423391
68,20,3,72.0,0.061250631942169585,1,0,3,0,4,0,5,2,2,0,2,7,5,2003,2003,1,1,12,13,1,167.0,2,4,2,2,3,0,2,1013,5,0,440,1453,1,0,1,4,1479,0,0,0.009546872951435548,1,0,2,0,3,1,2,7,6,0,5,1,2003.0,1,2,558,4,4,2,144,29,0,0,0,0,0,6,2007,8,4,0.9417979030970208
69,30,4,47.0,-0.6665916022356996,1,3,3,0,0,0,17,0,2,0,2,4,6,1945,1950,1,1,8,8,3,0.0,3,2,1,3,3,3,5,0,5,0,747,747,1,4,1,4,747,0,0,-1.514244755731654,0,0,1,0,2,1,3,4,6,0,5,1,1945.0,2,1,220,4,4,2,0,0,0,0,0,0,0,6,2010,8,4,-1.5240451754783464
70,50,3,81.0,0.6534260537728678,1,3,3,0,0,0,4,2,2,0,0,7,4,1953,1953,1,1,3,0,3,0.0,2,4,1,3,3,3,1,603,5,0,701,1304,2,4,1,4,1304,983,0,1.691546375650802,0,0,2,0,3,1,3,7,6,1,4,1,1953.0,0,2,667,4,4,2,0,21,114,0,0,0,0,7,2006,8,4,0.9249085669423951
71,20,3,95.0,0.42006471667968276,1,0,3,0,4,0,12,2,2,0,2,7,6,1973,1973,1,1,9,10,1,1115.0,3,2,1,2,3,1,0,1880,5,0,343,2223,1,0,1,4,2223,0,0,1.558318692268674,1,0,2,0,3,1,3,8,6,2,2,1,1973.0,0,2,516,4,4,2,300,0,0,0,0,0,0,2,2007,8,4,1.2458059538802853
